,genes
396,GLYATL3
397,GMPPB
398,GNAI1
399,GNAS-AS1
400,GNPNAT1
401,GOLGA2P7
402,GOLGA8A
403,GOLGA8DP
404,GP6
405,GP9
406,GPAT2
407,GPC3
408,GPN1
409,GPR176
410,GPR32
411,GPR55
412,GPS2
413,GPX3
414,GRAMD4
415,GRAP
416,GRB2
417,GRIK1-AS1
418,GRK4
419,GRPEL1
420,GSTO1
421,GSTO2
422,GTF2A1
423,GTF2A2
424,GTF2I
425,GTF3C1
426,GTF3C2
427,GTF3C2-AS1
428,GTF3C3
429,GZMA
430,H2AFY
431,HADH
432,HAGHL
433,HAS2-AS1
434,HAUS4
435,HBBP1
436,HCN2
437,HDDC3
438,HECA
439,HEG1
440,HENMT1
441,HERC2
442,HERC2P3
443,HEXIM1
444,HGC6.3
445,HHLA3
446,HIC1
447,HIF1A
448,HINT2
449,HIRIP3
450,HIST1H2BA
451,HIST1H2BB
452,HIVEP1
453,HLA-DMB
454,HLA-DRA
455,HLA-DRB1
456,HLA-DRB6
457,HLA-G
458,HMGN2
459,HMGN2P46
460,HNF4A-AS1
461,HNRNPA3P1
462,HNRNPH2
463,HNRNPM
464,HOPX
465,HOXB2
466,HOXC4
467,HPGD
468,HRH2
469,HSD11B2
470,HSFX2
471,HSPA13
472,HSPA14
473,HSPA2
474,HSPA8
475,HSPB7
476,HTRA2
477,HYAL2
478,ICAM4
479,IDH1
480,IDI2-AS1
481,IER3
482,IFITM1
483,IFITM2
484,IGF1R
485,IGFBP7
486,IGHMBP2
487,IKBKE
488,IKZF1
489,IKZF4
490,IL12RB2
491,IL17B
492,IL1RAP
493,IL22RA2
494,IL2RG
495,ILF2
496,INADL
497,ING1
498,ING3
499,INMT-FAM188B
500,INTS6
501,IQCA1
502,IRF2
503,IRG1
504,ITFG2
505,ITGA6
506,ITIH3
507,ITM2A
508,ITPKB-IT1
509,JAK3
510,JAKMIP3
511,JARID2
512,JAZF1-AS1
513,KANK1
514,KARS
515,KATNB1
516,KCNA6
517,KCNC2
518,KCNIP1
519,KCNIP3
520,KCNJ15
521,KCNK2
522,KCNK5
523,KCNMA1-AS2
524,KCNMB4
525,KCNQ5-AS1
526,KCNS3
527,KCNT1
528,KDM4B
529,KIAA0040
530,KIAA0125
